Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_407.jpg;0;1;0;2.561231;102.8595;88.54766;1.332803;42.65483;-0.001306414
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_449.jpg;0;1;0;2.58973;102.9359;88.61741;1.335437;42.64695;-0.001311165
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_491.jpg;0;1;0;2.618175;103.0131;88.68792;1.338769;42.63909;-0.001325472
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_533.jpg;0;1;0;2.646566;103.0911;88.75919;1.342429;42.63128;-0.00134234
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_575.jpg;0;1;0;2.674906;103.2098;88.86752;1.34774;42.61969;-0.001379867
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_617.jpg;0;1;0;2.703192;103.29;88.94067;1.350708;42.61206;-0.001388515
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_659.jpg;0;1;0;2.731424;103.3709;89.01457;1.352982;42.60446;-0.001403248
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_702.jpg;0;1;0;2.759595;103.4528;89.0892;1.354444;42.59686;-0.00140485
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_743.jpg;0;1;0;2.801732;103.5354;89.16457;1.355125;42.58921;-0.001411736
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_785.jpg;0;1;0;2.829736;103.6189;89.24067;1.355111;42.58144;-0.001411896
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_828.jpg;0;1;0;2.857667;103.7033;89.3175;1.354579;42.57351;-0.00141323
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_869.jpg;0;1;0;2.885991;103.7885;89.39514;1.357735;42.56654;-0.0009773116
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_912.jpg;0;1;0;2.913047;103.8745;89.4735;1.362475;42.55605;-0.001420974
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_955.jpg;0;1;0;2.940817;104.0051;89.59241;1.366627;42.54293;-0.001460902
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_31_996.jpg;0;1;0;2.968529;104.0932;89.67257;1.36732;42.53471;-0.001469069
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_039.jpg;0;1;0;2.996174;104.1821;89.75344;1.366544;42.52651;-0.001462396
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_081.jpg;0;1;0;3.023743;104.2719;89.83508;1.368672;42.51925;-0.001019109
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_122.jpg;0;1;0;3.064687;104.3625;89.91743;1.371768;42.50846;-0.001462613
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_164.jpg;0;1;0;3.092114;104.4539;90.0005;1.372942;42.49918;-0.001484018
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_205.jpg;-0.489612;1;0;3.105803;104.5462;90.08429;1.376373;42.48247;-0.001016017
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_256.jpg;-3.474678;1;0;3.146335;104.6868;90.21046;1.379783;42.26394;-0.0005908759
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_306.jpg;-6.482724;1;0;3.172374;104.7824;90.29412;1.36884;41.86246;0.0009834544
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_355.jpg;-9.443929;1;0;3.211127;104.9296;90.41824;1.353208;40.84347;359.9819
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_406.jpg;-12.48683;1;0;3.235163;105.0306;90.49877;1.323543;39.83684;359.9217
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_446.jpg;-15;1;0;3.269094;105.1335;90.57713;1.252114;38.58131;359.8463
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_488.jpg;-15;1;0;3.292707;105.2382;90.653;1.129578;37.13339;359.7604
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_530.jpg;-15;1;0;3.316976;105.3455;90.72624;0.983514;35.63105;359.6361
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_572.jpg;-12.51539;1;0;3.341274;105.4546;90.79738;0.8114306;34.15584;359.4964
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_612.jpg;-9.995074;1;0;3.367856;105.5657;90.86698;0.628683;32.83939;359.3466
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_655.jpg;-7.514039;1;0;3.394026;105.7355;90.96962;0.3484997;31.26925;359.1286
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_696.jpg;-5.018968;1;0;3.420076;105.8506;91.03749;0.1624729;30.5065;359.0052
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_738.jpg;-2.483626;1;0;3.446555;105.9672;91.10539;359.9925;29.99147;358.9017
C:\Users\adeda\OneDrive\Documents\RoboticsUdacity\IMG\robocam_2022_06_30_13_51_32_779.jpg;-0.01966009;1;0;3.470972;106.0859;91.1747;359.9044;29.71861;358.8593
